Name,MiddleName,Suffix,Type,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingStateCode,BillingCountryCode,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingStateCode,ShippingCountryCode,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,AccountNumber,Website,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,NameLocal,Jigsaw,AccountSource,SicDesc,ACRNM__c,Abbreviation__c,Topics__c,Active__c,AI_Validation_Status__c,qualtrics__NPS_Date__c,Institution_Sub_type_OLD__c,Institution_Type_OLD__c,Public_Private_Sector_OLD__c,email__c,CloudingoAgent__BAR__c,CloudingoAgent__BAS__c,CloudingoAgent__BAV__c,CloudingoAgent__BRDI__c,CloudingoAgent__BTZ__c,CloudingoAgent__SAR__c,CloudingoAgent__SAS__c,CloudingoAgent__SAV__c,CloudingoAgent__SRDI__c,CloudingoAgent__STZ__c,scanbizcards__ScanBizCards__c,Relationship_with_the_bank__c,Beneficiary_type__c,InstitutionSector_LAB_OLD__c,InstitutionSubType_LAB_OLD__c,InstitutionType_LAB_OLD__c,AI_Area__c,AI_Sub_Area__c,AI_Technology__c,qualtrics__Net_Promoter_Score__c,ORP_Confidential_Account__c,Other_Phone_Extension__c,Phone_Extension__c,Relationship_Type__c,Facebook__c,Linkedin__c,ORP_Business_Partner_Number__c,Other_Phone__c,Skype__c,Twitter__c,Used_by_IDB_Lab__c,Used_by_IDB__c,Financial_Regulation__c,Institution_Sub_Type__c,Institution_Type__c,Legal_Name__c,ORP_Rating__c,ORP_Region__c,ORP_Used_by_ORP__c,DQ_Score__c,ORP_Business_Partner_Name__c,ORP_Id__c,IDB_isBucket__c,ORP_Academic_Type__c,PSR_FinancingFocus__c,PSR_FundStatus__c,PSR_IsFund__c,pbk__AUM__c,pbk__Active_Investors__c,pbk__Average_Volume__c,pbk__Business_Status__c,pbk__Company_Status__c,pbk__Currency__c,pbk__Date_of_Last_Round__c,pbk__Dry_Powder__c,pbk__Employees__c,pbk__Enterprise_Value__c,pbk__Exchange__c,pbk__FYE__c,pbk__Financing_Status__c,pbk__Firm_Sub_Type__c,pbk__Former_Name__c,pbk__Global_Region__c,pbk__Global_Sub_Region__c,pbk__High_52wk__c,pbk__Industries_All__c,pbk__Investor_Status__c,pbk__LTM_Annual_Revenue__c,pbk__LTM_Dividend_Yield__c,pbk__LTM_EBITDA__c,pbk__LTM_EBIT__c,pbk__LTM_EPS__c,pbk__LTM_Net_Income__c,pbk__LTM_Number_Of_Investments__c,pbk__LTM_P_E__c,pbk__Last_Inv_Date__c,pbk__Last_Inv_Lead_Partner_Email__c,pbk__Last_Inv_Lead_Partner_Phone__c,pbk__Last_Inv_Lead_Partner_Title__c,pbk__Last_Inv_Lead_Partner__c,pbk__Last_Inv_Location__c,pbk__Last_Inv_Name__c,pbk__Last_Inv_Primary_Industry__c,pbk__Last_Inv_Size__c,pbk__Last_Inv_Status__c,pbk__Last_Inv_Type__c,pbk__Last_Round_Size__c,pbk__Last_Round_Status__c,pbk__Last_Round_Type__c,pbk__Last_Round_Valuation__c,pbk__Last_Sync_Date__c,pbk__Low_52wk__c,pbk__Market_Cap__c,pbk__Number_Of_Active_Investments__c,pbk__Ownership_Status__c,pbk__PB_Notes__c,pbk__PitchBook_Industry_Code__c,pbk__PitchBook_Industry_Group__c,pbk__PitchBook_Industry_Sector__c,pbk__PitchBook_Industry__c,pbk__PitchBook_Link__c,pbk__PitchBook_Type__c,pbk__Preferred_Company_Valuation__c,pbk__Preferred_Deal_Size__c,pbk__Preferred_EBITDA__c,pbk__Preferred_EBIT__c,pbk__Preferred_Geographies__c,pbk__Preferred_Industries__c,pbk__Preferred_Investment_Amount__c,pbk__Preferred_Investment_Horizon__c,pbk__Preferred_Investment_Types__c,pbk__Preferred_Other__c,pbk__Preferred_Revenue__c,pbk__Preferred_Verticals__c,pbk__Primary_Contact_Email__c,pbk__Primary_Contact_Name__c,pbk__Primary_Contact_Phone__c,pbk__Primary_Contact_Title__c,pbk__Primary_US_Region__c,pbk__SIC__c,pbk__TTM_End__c,pbk__Ticker_Symbol__c,pbk__Total_Assets_FYE__c,pbk__Total_Debt_FYE__c,pbk__Total_Money_Raised__c,pbk__Verticals__c,pbk__Year_Founded__c,pbk__pbId__c,Instagram__c,Business_Model_Type__c,Errors
EN LAS HUELLAS DEL BANCO GRAMEEN,,,,MANUEL VALVERDE 5-27 Y EDUARDO MORA,LOJA,,110103,Ecuador,,EC,,,,,,,,United States,,US,,,,59372583619,59398172530,,tiene cuenta en fb,,,,,,,,,,,,,,EC-ELHBG,,,true,Validated,,,,Public Sector,bgrameen@hotmail.com,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,false,false,,,Financial,EN LAS HUELLAS DEL BANCO GRAMEEN,,,false,56,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Public Sector:Public_Private_Sector_OLD__c --
CENTRO DE INVESTIGACIONES DE URBANISMO,,,,,Quito,,170516,Ecuador,,EC,,,,,,,,United States,,US,,,,+59323332154,33321542458987,,http://www.ciudad.org.ec/,,,,,,,,,,,,,,EC-CIUDAD,,,true,Validated,,,,Private Sector,ciudadinfo@ciudad.org.ec,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,false,false,,,Academic,"CENTRO DE INVESTIGACIONES DE URBANISMO, ARQUITECTURA Y DISEÑO",,,false,50,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Sector:Public_Private_Sector_OLD__c --
CENTRO DE PROMOCION Y EMPLEO PARA EL SECTOR INFORMAL URBANO,,,,MARACAIBO 316 ENTRE MEXICO Y GUARANDA CASILLA 15065,GUAYAQUIL,,90109,Ecuador,,EC,,,,,,,,United States,,US,,,,59322236504,,,http://www.cepesiu.org.ec/,,,,,,,,,,,,,,EC-PROEMPLEO,,,true,Validated,,,,Private Sector,padilla@cepesiu.org.ec,,,,,,,,,,,false,Executing agency,,,,,,,,,,,,,,,,,,@cepesiu,false,false,,,Business,CENTRO DE PROMOCION Y EMPLEO PARA EL SECTOR INFORMAL URBANO,,,false,62,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Sector:Public_Private_Sector_OLD__c --
COOPERATIVA DE PRODUCCION INTEGRAL APICULTORES DEL SUR OCCIDENTE R/L,,,,ALDEA EL SITIO CATARINA,SAN MARCOS,,12050,Guatemala,,GT,,,,,,,,United States,,US,,,,(502) 5345-9086,,,http://www.cooperativasinfronteras.net/index.php?option=com_content&view=article&id=195&itemid=189,,,,,,,"Ser cooperativa líder a nivel nacional en la exportación de miel diferenciada, que contribuye al desarrollo socioeconómico de nuestros asociados y nuestra comunidad apícola.  Producción, acopio y exportación de miel de abejas AGEXPORT, COOPERATIVA SIN FRONTERAS, FLO FAIRTRADE ALEMANIA",,,,,,,GU-COPIASURO,,,true,Validated,,Producer association,Business,Private Sector,copiasurorl@hotmail.com,,,,,,,,,,,false,Executing agency,,,,,,,,,,,,,,,,,,,false,false,,Cooperative and For-Profit Social Enterprises,Trade Associations and Unions,COOPERATIVA DE PRODUCCION INTEGRAL APICULTORES DEL SUR OCCIDENTE R/L,,,false,53,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Cooperative and For-Profit Social Enterprises:Institution_Sub_Type__c --
Centro Canadiense De Estudios Y Cooperacion Internacional,,,,Avenida Reforma 7-62 Zona 9 Edificio Aristos Reforma,Guatemala,,1009,Guatemala,,GT,,,,,,,,United States,,US,,,,+50223624032,,,www.ceci.ca,,,,,,,"Combatir la pobreza y la exclusión. Con este fin, el CECI fortalece las capacidades de desarrollo de las comunidades desfavorecidas, apoya iniciativas de paz, de derechos humanos y de equidad, moviliza recursos y favorece el intercambio de conocimientos.El Centro de Estudios y de cooperación internacional, CECI, es una organización canadiense sin fines de lucro, cuya sede social se encuentra en Montreal, Canadá. En Guatemala está legalmente representado y registrado según lo establecido en el Acuerdo Ministerial número 258-98 del Ministerio de Gobernación. El Número de Identificación Tributaria es: 664890-8  El CECI apoya iniciativas locales de promoción de la paz, de los derechos humanos y de desarrollo sostenible y equitativo, moviliza recursos y favorece los intercambios de conocimientos y capacidades. Los campos de especialización del CECI son:  ? Desarrollo Económico Local: Fortaleciendo las ventajas competitivas de los pequeños productores para dinamizar la economía local y así, mejorar la calidad de vida de las poblaciones.  ? Seguridad ciudadana y prevención de la violencia: Impulsando el fortalecimiento de la sociedad civil y del Estado para abordar la seguridad desde una perspectiva basada en la democracia, inclusión y participación.   ? Asistencia humanitaria, reconstrucción y mitigación de riesgos: Actuando en respuesta a situaciones de emergencia, rehabilitación de medios de vida, prevención y mitigación.  ? Todos los programas y proyectos son ejecutados con igualdad entre mujeres y hombres y sostenibilidad social, económica y ambiental.",,,,,,,GU-CECI,CECI,,true,Validated,,,,Private Sector,guatemala@ceci.ca,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,@ceci_canada,false,false,,,Non Profit / NGO,CENTRO CANADIENSE DE ESTUDIOS Y COOPERACION INTERNACIONAL,,,false,61,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Sector:Public_Private_Sector_OLD__c --
ASOCIACION BARILLENSE DE AGRICULTORES,,,,3A AV 3-47 ZONA 6,Huehuetenango,,13026,Guatemala,,GT,,,,,,,,United States,,US,,,,+50277802063,,,http://www.asobagri.com/,,,,,,,Somos una organización integrada por pequeños productores de café diferenciado. Producimos y comercializamos con responsabilidad social y ambiental con el alto compromiso de - Satisfacer los requerimiento de nuestros Clientes	 - Mejora las condiciones de acceso a mercado para nuestros asociados	 - Crear capacidades para la mejora continua de la organización y del producto.,,,,,,,GU-ASOBAGRI,ASOBAGRI,,true,Validated,,Producer association,Business,Private Sector,financiero@asobagri.com.gt,,,,,,,,,,,false,Executing agency,,,,,,,,,,,,,,,,,,@asobagri,false,false,,Cooperative and For-Profit Social Enterprises,Non Profit / NGO,ASOCIACION BARILLENSE DE AGRICULTORES,,,false,64,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Cooperative and For-Profit Social Enterprises:Institution_Sub_Type__c --
CONSERVATION INTERNATIONAL,,,,98 LALUNI STREET,Georgetown,,,Guyana,,GY,,,,,,,,United States,,US,,,,5922278171,,,https://conservation.org.gy/,,,,,,,CI has been working in Guyana focusing on species conservation and supporting efforts to establish a national system of protected areas as part of its broader mission to protect nature for the benefit of all.,,,,,,,GY-CI,,,true,Validated,,,International Organization / Program,Private Sector,,,,,,,,,,,,false,Executing agency,,,,,,,,,,,,,https://www.facebook.com/GuyanaCI/?ref=br_rs,,,,,,false,true,,,Intergovernmental Organization,CONSERVATION INTERNATIONAL,,,false,53,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Sector:Public_Private_Sector_OLD__c --
Fair Trading Commission,,,,"52-60 Grenada Crescent, Kingston 5Kingston 5",Kingston,,JMAKN05,Jamaica,,JM,,,,,,,,United States,,US,,,,87696001204,,,http://www.jftc.com/home.aspx,,,,,,,,,,,,,,JA-FTC,JFTC,,true,Pending validation,,,Government,Public Sector,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,false,false,,,Government,,,,false,50,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DUPLICATES_DETECTED:You are creating a duplicate record. We recommend you use an existing record instead.:--
Jamaica Business Development Corporation,,,,"76 Marcus Garvey Drive, Unit 10A, Kingston 13,Kingston 4",Kingston,Kingston,JMAAW13,Jamaica,JM01,JM,,,,,,,,United States,,US,,,,18769285161,,,http://www.jbdc.net/,,,,,,,"To pursue development policies that foster sustainable modernization and growth in the productive sector, effective modernization of the business environment, cost-effective delivery of technical and marketing services through highly committed, competent and motivated employees.The Jamaica Business Development Corporation (JBDC) has been established as the premier government business support organization for MSMEs in Jamaica.   As the leading player in the provision of business support services for Jamaican businesses, the organisation provides business and technical services across the spectrum, from guiding business start-ups to a wide range of consultancy services for established businesses.    The JBDC methodology constitutes a cooperative arrangement among Government Agencies and the private sector, associations, academic and research communities.   The JBDC team and board comprises experienced business professionals, an administrative team, and knowledgeable advisers and consultants.     In an effort to reach the small business sector nation-wide and to provide sustained contact with the client group, JBDC has established a network of Business Service Providers (BSPs) in most parishes.  BSPs provide first level JBDC services and also assist in identifying and meeting new needs required by the client group. These services include: business training, research, business plan writing, marketing and business consultancy.  There are approximately seventy (70) BSPs located throughout the island.  Our reach is fortified by the existence of our satellite offices (i.e. the JBDC Business Centres) that are positioned across the Island to ensure that all regions are served and business development services are accessible to MSMEs at all points.  The organization has over 4,000 established active clients, who have utilised a substantial suite of services and who are located across the country and represent varying sectors, including: fashion, agro-processing, craft and services. The company has over 100 multi-skilled staff including: professional business advisors, engineers and industry specialists, who provide expert support to its clients across the industrial sector.    JBDC has established a genuine one-stop facility for micro and small businesses.  Through the introduction of the Incubator and Resource Centre (IRC), JBDC delivers assistance by way of one-to-one assistance to clients and community groups particularly focused on Technical Development, Prototype Construction and Visual Communications.    The key services of the JBDC are:     ? Business Consultation/Counselling  ? Business Development Training  ? Business Plan Preparation/Assessment  ? Business Feasibility Studies  ? Project Implementation  ? Business Monitoring/Mentoring   ? Product design and development  ? Business incubation management  ? Plant and production engineering  ? Customized hands-on workshops  ? Prototype development (food,  craft, fashion, aroma-therapy)  ? Branding and graphic design  ? Packaging and labelling  ? Incubator support (Food, Fashion and Craft)  ? Retailing - Things Jamaican Stores  ? Marketing Consultation –Product assessments, product testing and reviews  ? Market Research  ? Market Access – Participation in trade  ? Project administration, management and evaluation  ? Proposal writing and training  ? Research (quantitative and qualitative methods – data collection and analysis)  ? Research training  ? Business debt counselling  ? Financial planning and evaluation  ? Grant sourcing  ? Financial proposal writing for the banking sector  ? Financial research",,,,,,,JA-JBDC,JDBC,,true,Pending validation,,,Business,Mixed,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,false,true,,,Business,JAMAICA BUSINESS DEVELOPMENT CORPORATION,,,false,55,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Mixed:Public_Private_Sector_OLD__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Mixed:Public_Private_Sector_OLD__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Mixed:Public_Private_Sector_OLD__c --
Jamaica Conservation And Development Trust,,,,"29 Dumbarton Avenue,Kingston 10",Kingston,,JMAKN10,Jamaica,,JM,,,,,,,,United States,,US,,,,87696028489,,,http://www.jcdt.org.jm/,,,,,,,"To promote environmental conservation and sustainable development with particular emphasis on the Blue and John Crow Mountains for the benefit of Jamaica and our people1. Management of the Blue and John Crow Mountains National Park on behalf of the Government of Jamaica through the Natural Resources Conservation Authority, as per the approved 5 year Management Plan programmes: Conservation, Education & Public Involvement, Recreation & Tourism, Enforcement & Compliance, Monitoring & Evaluation, Governance & Administration  2. Public Education e.g. through Green Expo, maintaining a special library",,,,,,,JA-JCDT,JCDT,,true,Pending validation,,,,Private Sector,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,false,43,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Sector:Public_Private_Sector_OLD__c --
Institute Of Law And Economics,,,,"10 Altamont Crescent, Kingston 5",Kingston,,JMAKN05,Jamaica,,JM,,,,,,,,United States,,US,,,,18769774959,,,http://ilejamaica.org.jm/,,,,,,,,,,,,,,JA-ILE,,,true,Pending validation,,,,Private Sector,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,false,42,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Sector:Public_Private_Sector_OLD__c --
BANCO DEL BIENESTAR,,,,,Ciudad de México,Mexico City,01080,Mexico,DF,MX,,,,,,,,United States,,US,,,,+525554813300,,,https://www.gob.mx/bancodelbienestar,,,,,,,El Banco del Bienestar (antes Banco del Ahorro Nacional y Servicios Financieros) es una institución pública de México de Banca de Desarrollo que actúa como Agente Financiero para ciertas operaciones del BID en México.,Medium,,BANBIEN,,,,ME-BANSEFI,BANBIEN,,true,Validated,,Other Financial Institution,Financial Institution,Public Sector,,,,,,,,,,,,false,Financial agent,,,,,,,,,,,,,https://www.facebook.com/bancobienestar/,,,,,@bbienestarmx,false,true,,National,Financial,"BANCO DEL BIENESTAR, SOCIEDAD NACIONAL DE CREDITO, INSTITUCION DE BANCA DE DESARROLLO",,,false,58,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: National:Institution_Sub_Type__c --
ASOCIACION PRO MUJER DE MEXICO,,,,,Pachuca de Soto,Hidalgo,42086,Mexico,HG,MX,,,,,,,,United States,,US,,,,527737327844,,,https://mexico.promujer.org/,,,,,,,"Pro Mujer es la única institución en México que combina las microfinanzas con la salud y el empoderamiento. Debido a que las mujeres que viven en las zonas de mayor marginación y pobreza del país tienen poco o nulo acceso a servicios financieros, de salud y educación, existe una creciente demanda de los servicios de desarrollo que brinda Pro Mujer.

La sede de Pro Mujer en México se encuentra ahora en Pachuca, Hidalgo, a 90 kilómetros de la Ciudad de México. Pro Mujer atiende a más de  40 mil mujeres en ocho estados de la República: Hidalgo, Estado de México, Puebla, Querétaro, Tlaxcala, Oaxaca, Veracruz y Ciudad de México.",,,,,,,ME-APMMAC,,,true,Validated,,Micro Finance Institution,Financial Institution,Private Sector,,,,,,,,,,,,false,Executing agency,Women,,,,,,,,,,,,https://www.facebook.com/promujermexico/,,,8006722177,,@promujer,false,true,,Micro Finance,Business,"ASOCIACION PRO MUJER DE MEXICO, A. C",,,false,56,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Micro Finance:Institution_Sub_Type__c --
COLECTIVO INTEGRAL DE DESARROLLO,,,,AV. LA FONTANA 1233 - URB. PABLO BONNER - LA MOLINA,La Molina,,4000,Peru,,PE,,,,,,,,United States,,US,,,,+5116282650,,,https://www.perspektiva.com.pe/,,,,,,,"Mejoramos y fortalecemos las competencias empresariales de los emprendedores, especialmente a los provenientes de los sectores más vulnerables de la población, brindándoles servicios especializados e interrelacionados en: formación, acompañamiento y entrenamiento para el desarrollo de sus habilidades gerenciales.  CAPACITACION NINGUNA",,,,,,,PE-CID,CID,,true,Validated,,,,Private Sector,badyacuna@cid.org.pe,,,,,,,,,,,false,Executing agency,,,,,,,,,,,,,,,,,,,false,false,,,Business,COLECTIVO INTEGRAL DE DESARROLLO,,,false,61,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Sector:Public_Private_Sector_OLD__c --
Banco Delta S.A.,,,,"Calle Elvira Méndez No. 122 Y Via Españaedif. Torre Delta, Planta Baja",Panamá,,0816-000548,Panama,,PA,,,,Inclusive Cities,,,,United States,,US,,,,+5073400000,,,www.bandelta.com,,,,,,,"Generamos un impacto positivo en la calidad de vida de nuestros clientes y colaboradores, construyendo relaciones sólidas, logrando bienestar social y financiero.",,,,,,,PN-BANDELTA,BANDELTA,,true,Validated,,,Financial Institution,Private Sector,mercadeo@bandelta.com,,,,,,,,,,,false,,Entrepreneur;Poor/vulnerable/low income;Urban/periurban,,,Public financial institution or bank,Inclusive Cities,Urban Services Transformation,,,,,,Executing Agency,,,,,,@bancodelta,true,false,,,Financial,BANCO DELTA S.A.,,,false,61,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Inclusive Cities:AI_Area__c --
Fcds - Fundacion Ciudad Del Saber,,,,"Edificio 104. 
Calle Luis Bonilla,",Ciudad del Saber,Panamá,81603991,Panama,PA8,PA,,,,Knowledge Economy,,,,United States,,US,,,,+5073170111,,,www.ciudaddelsaber.org,,,,,,,"La Fundación Ciudad del Saber es una organización privada sin ánimo de lucro, siendo el proyecto que esta administra una experiencia libre e independiente, lo que garantiza la sostenibilidad de los resultados alcanzados. Gracias a ello, se pueden marcar objetivos de largo plazo y mantener una relación práctica y realista con el entorno político y económico.
Centro Innovación -
El Centro pretende consolidarse como un punto de convergencia de recursos e iniciativas para el desarrollo y la promoción de empresas startups (emergentes) que sean innovadoras y con alto potencial de crecimiento tanto nacional como internacionalmente. Entre estos recursos están el Programa de Aceleración y el Programa de Mentores, que contribuyen a consolidar el “ecosistema” del emprendimiento en Panamá.
Proyectos FOMIN: Canal de empresarias, SEED 1, SEED 2",,,,,,,PN-FCS,FCdS,,true,Validated,,,,Private Sector,,,,,,,,,,,,false,,Entrepreneur;Urban/periurban,,,,Knowledge Economy,Entrepreneurship Ecosystem Developers,,,,,,Executing Agency,,,,,,@ciudaddelsaber,true,false,,Foundation,Non Profit / NGO,FUNDACION CIUDAD DEL SABER,,,false,59,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Sector:Public_Private_Sector_OLD__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Knowledge Economy:AI_Area__c --
Fundacion Moises Bertoni Para La Conservacion De La Naturaleza,,,,Prócer Carlos Argüello N° 208 Entre Avda. Mariscal López Y Avda. Guido Boggiani.,Asuncion,,1119,Paraguay,,PY,,,,,,,,United States,,US,,,,+59521608740,,,https://www.mbertoni.org.py/,,,,,,,"La FMB trabaja de manera innovadora para el desarrollo sostenible, a través de la conservación de la naturaleza con responsabilidad social y la participación activa de la población.

Creada en el año 1988, cuenta con un Consejo de Administración, constituido por 12 miembros, quienes son electos anualmente por la Asamblea General Ordinaria, integrada a su vez por los socios. Los asociados de la Fundación son representantes de la sociedad civil, con la sola condición de asumir un real compromiso con el desarrollo sostenible, la transparencia y la honorabilidad.

El Consejo de Administración establece las políticas generales, las líneas estratégicas y las metas sociales y económicas de los programas institucionales. Una de sus principales tareas es velar para que las actividades de la FMB sigan las prioridades y los procesos regulares definidos en forma efectiva y en coordinación con otras instituciones privadas, públicas, nacionales e internacionales.",,,,,,,PR-FMB,,,true,Validated,,,,Private Sector,mbertoni@mbertoni.org.py,,,,,,,,,,,false,Executing agency,,,,,,,,,,,,,https://www.facebook.com/moisesbertoni,,,,,@moisesbertoni,false,true,,,Non Profit / NGO,FUNDACION MOISES BERTONI PARA LA CONSERVACION DE LA NATURALEZA,,,false,66,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Sector:Public_Private_Sector_OLD__c --
Fundación Impulsar,,,,"Av. Leandro N. Alem 661, Piso 1",Ciudad Autónoma De Buenos Aires,,C1001AAB,Argentina,,AR,,,,,,,,United States,,US,,,,+541143136565,,,https://www.fundacionimpulsar.org.ar/,,,,,,,,,,,,,,AR-IMPULSAR,,,true,Validated,,,,Private Sector,buenosaires@fundacionimpulsar.org.ar,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,@fimpulsar,false,false,,,Non Profit / NGO,FUNDACIÓN IMPULSAR,,,false,60,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Sector:Public_Private_Sector_OLD__c --
Consumers International,,,,24 Highbury Crescent,London,,N5 1RX,United Kingdom,,GB,,,,,,,,United States,,US,,,,442072000000,,,www.consumersinternational.org/,,,,,,,,,,,,,,UK-CI,,,true,Pending validation,,,,Private Sector,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,false,42,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Sector:Public_Private_Sector_OLD__c --
